STATE,YEAR,Pupose,Total No. of cases reported,Male upto 10 years,Female upto 10 years,Male 10-15 years,Female 10-15 years,Male 15-18 years,Female 15-18 years,Male 18-30 years,Female 18-30 years,Male 30-50 years,Female 30-50 years,Male above 50 years,Female above 50 years,Total Male,Total Female,Grand Total
Andhra Pradesh,2002.0,For Adoption,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
Andhra Pradesh,2002.0,For Begging,-0.2393707771878006,-0.010819821921113316,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.12704557419059373,-0.22102860901179616,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.15782317989194836,-0.21745900315667602,-0.23983501992285236
Andhra Pradesh,2002.0,For Illicit intercourse,0.06342047580447854,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.11286421304604828,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,0.3516619183738623,-0.2109003634360554,0.03782691190092743,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,0.14629795978293497,0.0596244167666585
Andhra Pradesh,2002.0,For marriage,1.0310360016711098,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,0.9308415019192802,-0.10697017248729422,0.07380806152317569,-0.20467333449894237,1.9656079500970816,-0.09434002249925864,-0.06264155589488796,-0.10237607949921654,-0.041908810802807485,-0.17793545452799442,1.237568848601768,1.0165926166222692
Andhra Pradesh,2002.0,For Prostitution,-0.058354267246764145,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,0.07351180748347465,-0.10697017248729422,-0.13073581930394768,-0.20467333449894237,0.09134804228947209,-0.2109003634360554,-0.037524438945934116,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,0.007545303816279229,-0.06081035668455782
Andhra Pradesh,2002.0,For Ransom,-0.23278835864449016,-0.010819821921113316,-0.1074060831911942,-0.020945583059055885,-0.15013941715195286,-0.10697017248729422,-0.13073581930394768,-0.12704557419059373,-0.22753645591390592,-0.17204691645712314,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.13771090525590227,-0.21745900315667602,-0.23332503216873254
Andhra Pradesh,2002.0,For Revenge,-0.14721691758145475,0.14424598463020608,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.03265608448143939,-0.11937227036910748,-0.0882316940364194,-0.12991875238225958,-0.13319346947819088,-0.11287578979279565,0.40196207096125114,-0.041908810802807485,-0.05726180671171797,-0.14995771106478945,-0.14869519136517514
Andhra Pradesh,2002.0,For Selling body parts,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
Andhra Pradesh,2002.0,For Slavery,-0.2492444050027662,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.20801291520757667,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.20995885959091085,-0.24960000155403206
Andhra Pradesh,2002.0,For unlawful activity,0.09633256852103061,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,0.6686389689699799,0.039285267072594054,0.21648755333219932,-0.037524438945934116,0.906300221421719,-0.041908810802807485,0.4153766472353648,-0.04870577292695958,0.0921743555372575
Andhra Pradesh,2002.0,Others,1.6794042281871857,0.06671308135454639,0.44595737461258617,0.018443646183884464,-0.07558900894014368,-0.03265608448143939,-0.06255452569490655,4.414178403847802,0.9764152209763989,3.985271910288627,0.5150521339310505,0.5700747877814071,1.6610275684605265,3.3618248814161147,0.6563077222549669,1.6578264104030698
Andhra Pradesh,2003.0,For Adoption,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
Andhra Pradesh,2003.0,For Begging,-0.2558268235460766,-0.08835272519677301,0.030934781259750885,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.21745900315667602,-0.2561099893081519
Andhra Pradesh,2003.0,For Illicit intercourse,0.004178708914684801,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,0.4462638485425205,-0.10697017248729422,-0.017100329955545803,-0.20467333449894237,0.032777420170484295,-0.2109003634360554,0.1885296135946505,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,0.08254673947393097,0.004289520856640191
Andhra Pradesh,2003.0,For marriage,1.1100250241908347,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,1.8999968086727994,-0.10697017248729422,1.4260703847691578,-0.16585945434476804,0.9764152209763989,-0.2109003634360554,0.21364673054360436,-0.10237607949921654,-0.041908810802807485,-0.18799159184601746,1.2525691357332982,1.026357598253449
Andhra Pradesh,2003.0,For Prostitution,-0.11759603413655789,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.07558900894014368,-0.10697017248729422,-0.07391807462974673,-0.20467333449894237,-0.04531674265483277,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.08620649075578546,-0.14218520361105533
Andhra Pradesh,2003.0,For Ransom,-0.23607956791614537,-0.08835272519677301,0.030934781259750885,0.018443646183884464,-0.11286421304604828,-0.10697017248729422,-0.14209936823878785,-0.16585945434476804,-0.22102860901179616,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.16787931720997137,-0.20995885959091085,-0.23658002604579245
Andhra Pradesh,2003.0,For Revenge,0.007469918186340008,0.14424598463020608,-0.1074060831911942,0.13661133391270552,-0.0383138048342391,0.04165800352441544,-0.10800872143426729,0.04761688650319073,-0.13642659928436934,0.3330478942689961,-0.08775867284384181,1.0744129382418748,-0.041908810802807485,0.23436617551095015,-0.1349574239332591,-0.04128039342219842
Andhra Pradesh,2003.0,For Selling body parts,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
